year,harbor.seal.abundance
1978,6132.188
1979,6770.103
1980,7430.207
1981,8109.065
1982,8960.464
1983,9132.659
1984,9733.013
1985,10359.349
1986,11188.215
1987,11740.994
1988,12397.604
1989,13104.232
1990,13881.811
1991,14782.432
1992,15310.522
1993,15766.69
1994,16227.388
1995,15555.457
1996,15192.393
1997,14892.249
1998,15076.232
1999,15241.985
2000,15389.723
2001,15519.662
2002,15632
2003,15726.904
2004,15804.503
2005,15864.877
2006,15908.055
2007,15934.012
2008,15942.671
2009,15933.905
2010,15907.549
2011,15863.405
2012,16061.71
2013,16243.913
