broodYear,Flow,PDO,Hrel
1978,34900,0.859230769,340416
1979,97600,0.231538462,274090
1980,101000,1.342307692,216537
1981,53900,0.937692308,300942
1982,63200,0.605384615,241931
1983,81300,0.865384615,256238
1984,27400,1.819230769,319220
1985,63400,0.840769231,125280
1986,65100,-0.153076923,229013
1987,32100,-0.090769231,217948
1988,47200,-0.780769231,226771
1989,88200,0.821538462,205732
1990,142000,1.313846154,154815
1991,40100,0.434615385,375642
1992,27600,0.212307692,377991
1993,36400,0.613846154,379290
1994,55700,1.19,314095
1995,132000,0.562307692,328461
1996,73800,-0.879230769,583720
1997,60600,-0.998461538,445434
1998,51900,-0.451538462,463027
1999,76800,-0.347692308,463460
2000,26700,1.139230769,421213
2001,73700,0.509230769,513330
2002,53000,0.376153846,529821
2003,115000,-0.019230769,466100
2004,66800,-0.063076923,517000
2005,57400,-1.269230769,511560
2006,125000,-0.839230769,235010
2007,71300,-0.136153846,174000
2008,72900,-1.056923077,231500
2009,66000,-1.353076923,240000
2010,83500,-0.580769231,226050
2011,57200,0.611538462,235000
2012,45100,1.811666667,0
2013,48800,1.503333333,0
